IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
JAN,MĘŻCZYZNA,645988
PIOTR,MĘŻCZYZNA,606080
STANISŁAW,MĘŻCZYZNA,457826
ANDRZEJ,MĘŻCZYZNA,411638
PAWEŁ,MĘŻCZYZNA,401339
JÓZEF,MĘŻCZYZNA,390732
KRZYSZTOF,MĘŻCZYZNA,330476
ADAM,MĘŻCZYZNA,281403
TOMASZ,MĘŻCZYZNA,253859
MAREK,MĘŻCZYZNA,250062
MICHAŁ,MĘŻCZYZNA,235485
JERZY,MĘŻCZYZNA,199959
GRZEGORZ,MĘŻCZYZNA,196839
WOJCIECH,MĘŻCZYZNA,191249
MARCIN,MĘŻCZYZNA,189689
ŁUKASZ,MĘŻCZYZNA,173025
KAZIMIERZ,MĘŻCZYZNA,172050
TADEUSZ,MĘŻCZYZNA,168175
ANTONI,MĘŻCZYZNA,153992
MARIAN,MĘŻCZYZNA,151806
FRANCISZEK,MĘŻCZYZNA,148943
JAKUB,MĘŻCZYZNA,136008
ZBIGNIEW,MĘŻCZYZNA,135425
ROBERT,MĘŻCZYZNA,129435
JACEK,MĘŻCZYZNA,125988
RYSZARD,MĘŻCZYZNA,125975
HENRYK,MĘŻCZYZNA,120858
MATEUSZ,MĘŻCZYZNA,119648
JANUSZ,MĘŻCZYZNA,109924
MACIEJ,MĘŻCZYZNA,109407
KAROL,MĘŻCZYZNA,105540
WŁADYSŁAW,MĘŻCZYZNA,103750
MARIUSZ,MĘŻCZYZNA,98879
RAFAŁ,MĘŻCZYZNA,96910
DARIUSZ,MĘŻCZYZNA,89878
ROMAN,MĘŻCZYZNA,88887
ALEKSANDER,MĘŻCZYZNA,87540
SEBASTIAN,MĘŻCZYZNA,84315
STEFAN,MĘŻCZYZNA,73070
EDWARD,MĘŻCZYZNA,70070
ARTUR,MĘŻCZYZNA,69690
KAMIL,MĘŻCZYZNA,69152
MIROSŁAW,MĘŻCZYZNA,68906
MIECZYSŁAW,MĘŻCZYZNA,64547
DAWID,MĘŻCZYZNA,63941
SZYMON,MĘŻCZYZNA,61652
DANIEL,MĘŻCZYZNA,61603
SŁAWOMIR,MĘŻCZYZNA,61397
MIKOŁAJ,MĘŻCZYZNA,60103
WIESŁAW,MĘŻCZYZNA,59418
JAROSŁAW,MĘŻCZYZNA,58413
DOMINIK,MĘŻCZYZNA,57317
LESZEK,MĘŻCZYZNA,53532
CZESŁAW,MĘŻCZYZNA,52772
PATRYK,MĘŻCZYZNA,52474
ZDZISŁAW,MĘŻCZYZNA,52143
DAMIAN,MĘŻCZYZNA,51983
BOGDAN,MĘŻCZYZNA,51398
WALDEMAR,MĘŻCZYZNA,48186
ZYGMUNT,MĘŻCZYZNA,47087
WIKTOR,MĘŻCZYZNA,46771
PRZEMYSŁAW,MĘŻCZYZNA,45405
KONRAD,MĘŻCZYZNA,43011
SYLWESTER,MĘŻCZYZNA,42845
EUGENIUSZ,MĘŻCZYZNA,40437
KACPER,MĘŻCZYZNA,39219
ARKADIUSZ,MĘŻCZYZNA,39016
BOGUSŁAW,MĘŻCZYZNA,35598
BARTŁOMIEJ,MĘŻCZYZNA,34920
FILIP,MĘŻCZYZNA,32793
ADRIAN,MĘŻCZYZNA,32643
KRYSTIAN,MĘŻCZYZNA,32572
MAKSYMILIAN,MĘŻCZYZNA,30539
WITOLD,MĘŻCZYZNA,29639
WŁODZIMIERZ,MĘŻCZYZNA,29300
BRONISŁAW,MĘŻCZYZNA,28691
SZCZEPAN,MĘŻCZYZNA,28622
BARTOSZ,MĘŻCZYZNA,28308
IRENEUSZ,MĘŻCZYZNA,28041
WACŁAW,MĘŻCZYZNA,26037
BOLESŁAW,MĘŻCZYZNA,25548
LEON,MĘŻCZYZNA,25436
ZENON,MĘŻCZYZNA,24372
HUBERT,MĘŻCZYZNA,23507
IGNACY,MĘŻCZYZNA,22836
JULIAN,MĘŻCZYZNA,22493
RADOSŁAW,MĘŻCZYZNA,22202
GABRIEL,MĘŻCZYZNA,21061
LUDWIK,MĘŻCZYZNA,19842
BERNARD,MĘŻCZYZNA,18982
CEZARY,MĘŻCZYZNA,17618
FELIKS,MĘŻCZYZNA,16530
NORBERT,MĘŻCZYZNA,15673
EDMUND,MĘŻCZYZNA,14986
LECH,MĘŻCZYZNA,14064
LUCJAN,MĘŻCZYZNA,13678
OSKAR,MĘŻCZYZNA,12974
EMIL,MĘŻCZYZNA,12259
ALOJZY,MĘŻCZYZNA,12082
WINCENTY,MĘŻCZYZNA,11930
BŁAŻEJ,MĘŻCZYZNA,11418
BOGUMIŁ,MĘŻCZYZNA,10466
IGOR,MĘŻCZYZNA,10364
SEWERYN,MĘŻCZYZNA,10050
WALENTY,MĘŻCZYZNA,9784
MARIA,MĘŻCZYZNA,9762
MIŁOSZ,MĘŻCZYZNA,9533
TEODOR,MĘŻCZYZNA,8351
ROMUALD,MĘŻCZYZNA,8154
ERYK,MĘŻCZYZNA,8072
BENEDYKT,MĘŻCZYZNA,8060
JOACHIM,MĘŻCZYZNA,7902
GERARD,MĘŻCZYZNA,7888
ALFRED,MĘŻCZYZNA,7579
ALBERT,MĘŻCZYZNA,7507
MARCEL,MĘŻCZYZNA,7408
NIKODEM,MĘŻCZYZNA,7342
OLIWIER,MĘŻCZYZNA,7228
FLORIAN,MĘŻCZYZNA,7161
AUGUSTYN,MĘŻCZYZNA,6886
JULIUSZ,MĘŻCZYZNA,6736
KONSTANTY,MĘŻCZYZNA,6250
LEONARD,MĘŻCZYZNA,6150
REMIGIUSZ,MĘŻCZYZNA,5936
ALAN,MĘŻCZYZNA,5758
KAJETAN,MĘŻCZYZNA,5323
KSAWERY,MĘŻCZYZNA,5293
ERNEST,MĘŻCZYZNA,5278
LESŁAW,MĘŻCZYZNA,5102
FABIAN,MĘŻCZYZNA,5067
WAWRZYNIEC,MĘŻCZYZNA,5041
TYMOTEUSZ,MĘŻCZYZNA,4522
RAJMUND,MĘŻCZYZNA,4064
ALEXANDER,MĘŻCZYZNA,3968
TEOFIL,MĘŻCZYZNA,3901
HIERONIM,MĘŻCZYZNA,3879
RUDOLF,MĘŻCZYZNA,3874
CYPRIAN,MĘŻCZYZNA,3769
EMANUEL,MĘŻCZYZNA,3746
FRYDERYK,MĘŻCZYZNA,3743
WILHELM,MĘŻCZYZNA,3678
GUSTAW,MĘŻCZYZNA,3664
OLAF,MĘŻCZYZNA,3591
KLAUDIUSZ,MĘŻCZYZNA,3472
BRUNON,MĘŻCZYZNA,3344
LEOPOLD,MĘŻCZYZNA,3323
ROCH,MĘŻCZYZNA,3231
MICHAEL,MĘŻCZYZNA,3139
GRACJAN,MĘŻCZYZNA,3137
MARCELI,MĘŻCZYZNA,3112
KLEMENS,MĘŻCZYZNA,3038
DAVID,MĘŻCZYZNA,2874
IZYDOR,MĘŻCZYZNA,2828
ALBIN,MĘŻCZYZNA,2773
BORYS,MĘŻCZYZNA,2729
TOBIASZ,MĘŻCZYZNA,2641
JOHN,MĘŻCZYZNA,2584
NATAN,MĘŻCZYZNA,2420
WALERIAN,MĘŻCZYZNA,2414
SAMUEL,MĘŻCZYZNA,2414
BENIAMIN,MĘŻCZYZNA,2402
ALFONS,MĘŻCZYZNA,2378
KORNEL,MĘŻCZYZNA,2374
BRUNO,MĘŻCZYZNA,2358
ADOLF,MĘŻCZYZNA,2345
