IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
MARIA,KOBIETA,1486211
ANNA,KOBIETA,897288
KATARZYNA,KOBIETA,418069
BARBARA,KOBIETA,407339
EWA,KOBIETA,374225
TERESA,KOBIETA,363568
MAŁGORZATA,KOBIETA,333652
ELŻBIETA,KOBIETA,315871
MAGDALENA,KOBIETA,301103
AGNIESZKA,KOBIETA,276050
ZOFIA,KOBIETA,268440
KRYSTYNA,KOBIETA,223995
JOANNA,KOBIETA,199771
JADWIGA,KOBIETA,198321
JANINA,KOBIETA,163692
MONIKA,KOBIETA,163604
HELENA,KOBIETA,156992
MARTA,KOBIETA,135398
DOROTA,KOBIETA,133705
DANUTA,KOBIETA,131077
STANISŁAWA,KOBIETA,125432
IRENA,KOBIETA,120063
BEATA,KOBIETA,119994
JOLANTA,KOBIETA,118254
WERONIKA,KOBIETA,117928
ALEKSANDRA,KOBIETA,115053
KAROLINA,KOBIETA,111146
URSZULA,KOBIETA,102327
WIKTORIA,KOBIETA,97542
GRAŻYNA,KOBIETA,96829
HALINA,KOBIETA,88284
ALICJA,KOBIETA,85841
JULIA,KOBIETA,84608
IWONA,KOBIETA,83750
AGATA,KOBIETA,81119
BOŻENA,KOBIETA,80948
MARIANNA,KOBIETA,80651
IZABELA,KOBIETA,79549
KAZIMIERA,KOBIETA,78949
JÓZEFA,KOBIETA,78719
NATALIA,KOBIETA,78163
JUSTYNA,KOBIETA,74383
SYLWIA,KOBIETA,72845
PAULINA,KOBIETA,68348
PATRYCJA,KOBIETA,61850
KINGA,KOBIETA,58832
RENATA,KOBIETA,58469
WANDA,KOBIETA,58272
ŁUCJA,KOBIETA,52720
EMILIA,KOBIETA,48356
DOMINIKA,KOBIETA,47831
ZUZANNA,KOBIETA,44160
STEFANIA,KOBIETA,43397
GABRIELA,KOBIETA,43355
MARZENA,KOBIETA,41958
ANTONINA,KOBIETA,41684
WIESŁAWA,KOBIETA,41288
EDYTA,KOBIETA,39110
LUCYNA,KOBIETA,37719
EWELINA,KOBIETA,35933
HANNA,KOBIETA,35854
LIDIA,KOBIETA,34644
WŁADYSŁAWA,KOBIETA,34237
KLAUDIA,KOBIETA,34216
ANIELA,KOBIETA,34100
ANETA,KOBIETA,32743
BOGUMIŁA,KOBIETA,31892
MARIOLA,KOBIETA,31591
KAMILA,KOBIETA,30797
OLIWIA,KOBIETA,28961
GENOWEFA,KOBIETA,28499
MIROSŁAWA,KOBIETA,26517
CECYLIA,KOBIETA,26318
SABINA,KOBIETA,26183
FRANCISZKA,KOBIETA,25881
HENRYKA,KOBIETA,25618
BRONISŁAWA,KOBIETA,25356
DARIA,KOBIETA,24632
ALINA,KOBIETA,24205
REGINA,KOBIETA,23618
BOGUSŁAWA,KOBIETA,23588
MICHALINA,KOBIETA,22505
CZESŁAWA,KOBIETA,22496
MAJA,KOBIETA,22284
WIOLETTA,KOBIETA,21186
RÓŻA,KOBIETA,21129
ANGELIKA,KOBIETA,20397
MARTYNA,KOBIETA,19974
ROZALIA,KOBIETA,19252
AMELIA,KOBIETA,16937
LAURA,KOBIETA,16663
BERNADETA,KOBIETA,16584
OLGA,KOBIETA,16047
ANASTAZJA,KOBIETA,15370
ZDZISŁAWA,KOBIETA,15073
LEOKADIA,KOBIETA,14028
GERTRUDA,KOBIETA,13214
KLARA,KOBIETA,12965
ILONA,KOBIETA,12911
MIECZYSŁAWA,KOBIETA,12628
ANITA,KOBIETA,12327
SANDRA,KOBIETA,12279
LENA,KOBIETA,11945
WIOLETA,KOBIETA,11449
EUGENIA,KOBIETA,11285
DAGMARA,KOBIETA,10578
MARLENA,KOBIETA,10265
HONORATA,KOBIETA,9935
NIKOLA,KOBIETA,9918
ELIZA,KOBIETA,9882
JAGODA,KOBIETA,9616
KORNELIA,KOBIETA,9457
BRYGIDA,KOBIETA,9413
SARA,KOBIETA,9250
CELINA,KOBIETA,8919
MILENA,KOBIETA,8821
KARINA,KOBIETA,8728
FAUSTYNA,KOBIETA,8685
LUDWIKA,KOBIETA,8448
DANIELA,KOBIETA,8240
MARCELINA,KOBIETA,7434
ROKSANA,KOBIETA,7349
ADRIANNA,KOBIETA,7322
MAGDA,KOBIETA,7063
LUIZA,KOBIETA,6911
ALDONA,KOBIETA,6882
RITA,KOBIETA,6829
JULIANNA,KOBIETA,6758
IZABELLA,KOBIETA,6731
ŻANETA,KOBIETA,6548
APOLONIA,KOBIETA,6463
MALWINA,KOBIETA,6364
NINA,KOBIETA,6208
NADIA,KOBIETA,6181
MATYLDA,KOBIETA,6097
LILIANA,KOBIETA,6086
WACŁAWA,KOBIETA,6043
DIANA,KOBIETA,6030
ELEONORA,KOBIETA,5719
JULITA,KOBIETA,5600
PAULA,KOBIETA,5518
ROMANA,KOBIETA,5345
AURELIA,KOBIETA,5341
WALERIA,KOBIETA,4991
VIOLETTA,KOBIETA,4873
IGA,KOBIETA,4828
FELICJA,KOBIETA,4788
ADRIANA,KOBIETA,4688
ELWIRA,KOBIETA,4674
PELAGIA,KOBIETA,4621
BERNADETTA,KOBIETA,4482
ADELA,KOBIETA,4371
BOŻENNA,KOBIETA,4306
KONSTANCJA,KOBIETA,4164
ANDŻELIKA,KOBIETA,4066
BLANKA,KOBIETA,3821
JUDYTA,KOBIETA,3817
WALENTYNA,KOBIETA,3659
ALFREDA,KOBIETA,3637
POLA,KOBIETA,3538
LILIANNA,KOBIETA,3511
VICTORIA,KOBIETA,3389
ESTERA,KOBIETA,3357
OTYLIA,KOBIETA,3260
KAJA,KOBIETA,3183
ZENONA,KOBIETA,3147
MARZANNA,KOBIETA,3120
JÓZEFINA,KOBIETA,3113
RYSZARDA,KOBIETA,3092
FELIKSA,KOBIETA,3086
SONIA,KOBIETA,3052
JOWITA,KOBIETA,2964
BERNARDA,KOBIETA,2767
ROMUALDA,KOBIETA,2700
TAMARA,KOBIETA,2638
MARIE,KOBIETA,2606
LUDMIŁA,KOBIETA,2554
OLIMPIA,KOBIETA,2527
TEODORA,KOBIETA,2493
MARIKA,KOBIETA,2489
ALBINA,KOBIETA,2461
ARLETA,KOBIETA,2424
MELANIA,KOBIETA,2395
SŁAWOMIRA,KOBIETA,2359
KALINA,KOBIETA,2344
NATASZA,KOBIETA,2319
TATIANA,KOBIETA,2228
ZENOBIA,KOBIETA,2141
INGA,KOBIETA,2089
HILDEGARDA,KOBIETA,2065
ERYKA,KOBIETA,2031
ELIZABETH,KOBIETA,2029
IRMINA,KOBIETA,1999
DONATA,KOBIETA,1997
AMANDA,KOBIETA,1977
ZYTA,KOBIETA,1974
SALOMEA,KOBIETA,1960
BALBINA,KOBIETA,1898
TEODOZJA,KOBIETA,1819
OLIVIA,KOBIETA,1771
ADELAJDA,KOBIETA,1722
BOLESŁAWA,KOBIETA,1720
NICOLE,KOBIETA,1713
GIZELA,KOBIETA,1647
LEONARDA,KOBIETA,1637
EDWARDA,KOBIETA,1598
MARZENNA,KOBIETA,1589
IDA,KOBIETA,1579
FLORENTYNA,KOBIETA,1575
LONGINA,KOBIETA,1570
ALEXANDRA,KOBIETA,1563
MARYLA,KOBIETA,1558
EMMA,KOBIETA,1551
ADA,KOBIETA,1545
MIA,KOBIETA,1542
MARCELA,KOBIETA,1521
TEKLA,KOBIETA,1493
VANESSA,KOBIETA,1477
OKTAWIA,KOBIETA,1472
JESSICA,KOBIETA,1472
TEOFILA,KOBIETA,1415
LIWIA,KOBIETA,1389
LUCJA,KOBIETA,1387
BOGNA,KOBIETA,1385
KLEMENTYNA,KOBIETA,1369
KRZYSZTOFA,KOBIETA,1323
NICOLA,KOBIETA,1292
LILIA,KOBIETA,1264
LILLA,KOBIETA,1248
SOFIA,KOBIETA,1225
KUNEGUNDA,KOBIETA,1209
ROSE,KOBIETA,1202
ELENA,KOBIETA,1193
SOPHIE,KOBIETA,1174
KAMILLA,KOBIETA,1156
MARCJANNA,KOBIETA,1152
ROMA,KOBIETA,1123
BIANKA,KOBIETA,1117
SAMANTA,KOBIETA,1112
ANETTA,KOBIETA,1110
LILA,KOBIETA,1066
EVA,KOBIETA,1035
MIRELA,KOBIETA,1032
NADZIEJA,KOBIETA,1005
NELA,KOBIETA,995
ELFRYDA,KOBIETA,987
KSENIA,KOBIETA,984
ANN,KOBIETA,955
SEWERYNA,KOBIETA,925
IZA,KOBIETA,919
ANGELINA,KOBIETA,918
VIKTORIA,KOBIETA,908
MIRIAM,KOBIETA,871
LEA,KOBIETA,852
NOEMI,KOBIETA,834
INEZ,KOBIETA,822
GAJA,KOBIETA,817
STELLA,KOBIETA,808
SOPHIA,KOBIETA,797
BENEDYKTA,KOBIETA,796
PAMELA,KOBIETA,796
MANUELA,KOBIETA,793
ELISABETH,KOBIETA,780
PETRONELA,KOBIETA,777
AUGUSTYNA,KOBIETA,772
AMALIA,KOBIETA,766
BERNARDYNA,KOBIETA,765
DOBROSŁAWA,KOBIETA,761
MICHELLE,KOBIETA,753
FILOMENA,KOBIETA,745
ANGELA,KOBIETA,729
ANDREA,KOBIETA,727
BERTA,KOBIETA,714
EULALIA,KOBIETA,709
ANNE,KOBIETA,697
GLORIA,KOBIETA,687
GRACE,KOBIETA,680
WIRGINIA,KOBIETA,676
EMANUELA,KOBIETA,668
BERENIKA,KOBIETA,651
WANESSA,KOBIETA,645
GRETA,KOBIETA,635
CELESTYNA,KOBIETA,631
SŁAWA,KOBIETA,631
INES,KOBIETA,623
RUTA,KOBIETA,605
MALINA,KOBIETA,603
OLA,KOBIETA,591
ISABELLA,KOBIETA,582
LOUISE,KOBIETA,567
MAYA,KOBIETA,559
MARY,KOBIETA,555
PATRICIA,KOBIETA,553
MIRELLA,KOBIETA,553
LIGIA,KOBIETA,550
JAROSŁAWA,KOBIETA,546
JANE,KOBIETA,543
VERONICA,KOBIETA,535
HIACYNTA,KOBIETA,528
CLAUDIA,KOBIETA,520
GABRYELA,KOBIETA,517
JAŚMINA,KOBIETA,514
SARAH,KOBIETA,514
ANTONIA,KOBIETA,504
LEONTYNA,KOBIETA,500
KLAUDYNA,KOBIETA,496
DOMICELA,KOBIETA,492
ERNA,KOBIETA,490
GERDA,KOBIETA,489
LARYSA,KOBIETA,488
MARGARET,KOBIETA,481
EMILY,KOBIETA,477
BERNARDETA,KOBIETA,471
MIRA,KOBIETA,461
SYLWESTRA,KOBIETA,461
LINDA,KOBIETA,452
ISABEL,KOBIETA,450
MARIETTA,KOBIETA,448
BLANDYNA,KOBIETA,440
CHRISTINA,KOBIETA,440
MERCEDES,KOBIETA,438
GRACJANA,KOBIETA,437
CHRISTINE,KOBIETA,433
AURORA,KOBIETA,432
GRACJA,KOBIETA,425
HELGA,KOBIETA,425
NEL,KOBIETA,414
CARMEN,KOBIETA,413
KORNELA,KOBIETA,412
CRISTINA,KOBIETA,412
RAMONA,KOBIETA,404
WANESA,KOBIETA,404
MARIIA,KOBIETA,391
ERIKA,KOBIETA,386
IRMA,KOBIETA,384
RUTH,KOBIETA,380
NARCYZA,KOBIETA,378
HANKA,KOBIETA,376
ALICE,KOBIETA,375
LEONIA,KOBIETA,374
VERONIKA,KOBIETA,373
NATALIE,KOBIETA,370
AGNES,KOBIETA,368
JAGNA,KOBIETA,366
CAROLINE,KOBIETA,364
ŻAKLINA,KOBIETA,364
BOGDANA,KOBIETA,361
CATHERINE,KOBIETA,361
CHARLOTTE,KOBIETA,361
DOBRAWA,KOBIETA,348
CAROLINA,KOBIETA,345
LIZA,KOBIETA,343
SABRINA,KOBIETA,338
ARLETTA,KOBIETA,338
KATHARINA,KOBIETA,338
DELFINA,KOBIETA,337
SYBILLA,KOBIETA,332
FATIMA,KOBIETA,329
OKSANA,KOBIETA,325
EUFEMIA,KOBIETA,320
DAJANA,KOBIETA,319
PRAKSEDA,KOBIETA,318
IRENE,KOBIETA,315
ALA,KOBIETA,312
ABIGAIL,KOBIETA,311
MARGARETA,KOBIETA,309
IWONNA,KOBIETA,308
JOHANNA,KOBIETA,308
ALICIA,KOBIETA,306
INGRID,KOBIETA,305
LARA,KOBIETA,305
JENNIFER,KOBIETA,303
EMA,KOBIETA,301
ROSA,KOBIETA,297
WINCENTYNA,KOBIETA,296
HELEN,KOBIETA,295
LUCIA,KOBIETA,293
FRYDERYKA,KOBIETA,288
ZOJA,KOBIETA,286
RADOSŁAWA,KOBIETA,286
DALIA,KOBIETA,286
ERNESTYNA,KOBIETA,284
MONICA,KOBIETA,283
DŻESIKA,KOBIETA,283
ANASTASIA,KOBIETA,281
EDELTRAUDA,KOBIETA,281
SCHOLASTYKA,KOBIETA,281
ELA,KOBIETA,277
ROBERTA,KOBIETA,275
WILHELMINA,KOBIETA,274
LUBOMIRA,KOBIETA,269
KRISTINA,KOBIETA,268
NIKOL,KOBIETA,268
KASANDRA,KOBIETA,266
KAROLA,KOBIETA,263
WALESKA,KOBIETA,263
MARTINA,KOBIETA,262
DOBROCHNA,KOBIETA,261
AUGUSTA,KOBIETA,261
IRMGARDA,KOBIETA,260
EMILA,KOBIETA,259
NICOL,KOBIETA,259
MICHAELA,KOBIETA,258
LUKRECJA,KOBIETA,258
LILY,KOBIETA,257
KAUR,KOBIETA,257
ISABELLE,KOBIETA,255
JOSEPHINE,KOBIETA,254
NAOMI,KOBIETA,250
IDALIA,KOBIETA,248
LESŁAWA,KOBIETA,247
JOY,KOBIETA,246
BEATRIZ,KOBIETA,246
ADAMINA,KOBIETA,245
KARIN,KOBIETA,243
MARTHA,KOBIETA,242
SIMONA,KOBIETA,241
NUR,KOBIETA,240
ALEJANDRA,KOBIETA,238
BENIGNA,KOBIETA,236
ELLA,KOBIETA,236
DOBROMIŁA,KOBIETA,235
DOLORES,KOBIETA,235
BENITA,KOBIETA,234
MARITA,KOBIETA,234
ZOE,KOBIETA,232
LYNN,KOBIETA,231
FRANCESCA,KOBIETA,231
RACHEL,KOBIETA,231
MARGOT,KOBIETA,229
MODESTA,KOBIETA,229
SZARLOTA,KOBIETA,228
MAJKA,KOBIETA,224
KSAWERA,KOBIETA,224
SERAFINA,KOBIETA,224
LUISA,KOBIETA,223
